상호명,상가업소번호,지점명,건물명,경도,위도
BEAR자동차외형복원,24620790,,,129.4255265,35.48982796
beautysalon2#,12527460,,,129.3357288,35.5421761
beautysalon2#,25320364,,,129.3382975,35.54147164
BECAUSE,26586721,,,129.2603725,35.54190572
BEST광택,26591868,,,129.3382156,35.54384299
BEST폰케이스,26585365,,,129.3249875,35.55622882
BEYONDMATH수학전문,24628049,,,129.2885171,35.53582184
BEYONDMATH수학전문학원,14307074,,,129.2885171,35.53582184
BE단과학원,13945962,,,129.2886377,35.53509049
BE샵,26589478,,선경2차아파트,129.3084761,35.55825683
BHC치킨,20677937,달동점,,129.3203487,35.5322959
BHC치킨,12420238,남외점,유화빌라,129.343591,35.56263849
BHC치킨,16735128,서부점,,129.4326959,35.52430788
BHC치킨,23479019,장현점,,129.3434985,35.58814634
BHC치킨,28488936,울산옥동점,대륙1차현대아파트,129.2961947,35.53600995
BHC치킨,17013113,무거점,굴화강변월드메르디앙,129.2597655,35.55597257
BHC치킨,26585331,,,129.3189437,35.5232531
BHC치킨,21907957,울산야음수암점,,129.3186863,35.52368854
BHC치킨,17044456,신정점,양우내안애팰리스,129.3053364,35.53739851
BHC치킨,16957934,울산대점,,129.2598518,35.54174893
BHC치킨,12053415,울산서동점,우성빌라,129.3431907,35.57896553
